Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
forkassn3,de.hysky.skyblocker.skyblock.itemlist,UpcomingEventsTab.EventRenderer,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.skyblock.fancybars,StatusBarsConfigScreen,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: RESIZE_CURSOR
forkassn3,de.hysky.skyblocker.skyblock.fancybars,FancyStatusBars,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: barPositioner; statusBars
forkassn3,de.hysky.skyblocker.skyblock.fancybars,FancyStatusBars,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
forkassn3,de.hysky.skyblocker.skyblock.fancybars,EditBarWidget.EnumCyclingOption,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.skyblock.fancybars,EditBarWidget.BooleanOption,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.skyblock.fancybars,EditBarWidget.ColorOption,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.skyblock.dungeon.puzzle.waterboard,Waterboard,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: INSTANCE; WATER_LEVER
forkassn3,de.hysky.skyblocker.skyblock.dungeon.puzzle.waterboard,Waterboard,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
forkassn3,de.hysky.skyblocker.skyblock.dungeon.puzzle.waterboard,Waterboard.Result,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.skyblock.dungeon.puzzle.waterboard,Cell,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: BLOCK; EMPTY
forkassn3,de.hysky.skyblocker.skyblock.dungeon.puzzle.waterboard,Cell.SwitchCell,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.skyblock.dungeon.puzzle.boulder,BoulderSolver.GameState,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.skyblock.dungeon.partyfinder,PartyEntry,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: JOIN_TEXT; DE_LIST_TEXT; YOUR_PARTY_TEXT
forkassn3,de.hysky.skyblocker.skyblock.dungeon.partyfinder,PartyEntry.Player,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.skyblock.dungeon.partyfinder,PartyEntry.NoParties,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.skyblock.dungeon.partyfinder,PartyEntry.YourParty,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.skyblock.dungeon.partyfinder,PartyEntry.YourParty,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DE_LIST_TEXT; YOUR_PARTY_TEXT
forkassn3,de.hysky.skyblocker.skyblock.dungeon.partyfinder,PartyEntryListWidget,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: BASE_SKULL_NBT
forkassn3,de.hysky.skyblocker.skyblock.dungeon.partyfinder,PartyFinderScreen,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: isInKuudraPartyFinder; DEBUG; possibleInventoryNames; floorIconsNormal; floorIconsMaster
forkassn3,de.hysky.skyblocker.skyblock.end,BeaconHighlighter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: beaconPositions
forkassn3,de.hysky.skyblocker.skyblock.end,EndHudWidget,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: INSTANCE
forkassn3,de.hysky.skyblocker.skyblock.end,TheEnd,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: hitZealots; zealotsSinceLastEye; zealotsKilled; eyes; protectorLocations; currentProtectorLocation; stage
forkassn3,de.hysky.skyblocker.skyblock.end,EnderNodes.EnderNode,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.skyblock.profileviewer,ProfileViewerScreen,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: LOGGER
forkassn3,de.hysky.skyblocker.skyblock.profileviewer,ProfileViewerScreen,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
forkassn3,de.hysky.skyblocker.skyblock.profileviewer.utils,LevelFinder.LevelInfo,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.skyblock.profileviewer.utils,ProfileViewerUtils,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: COMMA_FORMATTER
